Sport,Sport_subTitle,Team1,Team2,StartTime,Round
Beach Volleyball,Men's Preliminary Phase - Pool B (#8),VAN DE VELDE/IMMERS,RANGHIERI/CARAMBULA,2024-07-28T08:00:00.000+00:00,
Hockey,Women's Pool A (#W03),Belgium,China,2024-07-28T08:00:00.000+00:00,
Rowing,Women's Double Sculls Repechages,,,2024-07-28T08:10:00.000+00:00,
Rowing,Men's Double Sculls Repechages,,,2024-07-28T08:20:00.000+00:00,
Equestrian,Eventing Individual Cross Country,,,2024-07-28T08:30:00.000+00:00,
Equestrian,Eventing Team Cross Country,,,2024-07-28T08:30:00.000+00:00,
Hockey,Women's Pool A (#W04),Germany,Japan,2024-07-28T08:30:00.000+00:00,
Rowing,Women's Pair Heats,,,2024-07-28T08:30:00.000+00:00,
Water Polo,Men's Preliminary Round - Group B (#1),Australia,Spain,2024-07-28T08:30:00.000+00:00,
Basketball,Men's Group Phase - Group C (#5),South Sudan,Puerto Rico,2024-07-28T09:00:00.000+00:00,
Beach Volleyball,Women's Preliminary Phase - Pool E (#5),CAROL/BARBARA,AKIKO/ISHII,2024-07-28T09:00:00.000+00:00,
Boxing,Men's 51kg - Preliminaries - Round of 32,,,2024-07-28T09:00:00.000+00:00,
Handball,Women's Preliminary Round Group A (#8),Korea,Slovenia,2024-07-28T09:00:00.000+00:00,
Rowing,Men's Pair Heats,,,2024-07-28T09:00:00.000+00:00,
Swimming,Men's 200m Freestyle - Heats,,,2024-07-28T09:00:00.000+00:00,
Swimming,Men's 400m Individual Medley - Heats,,,,
Swimming,Women's 100m Breaststroke - Heats,,,,
Swimming,Men's 100m Backstroke - Heats,,,,
Swimming,Women's 200m Freestyle - Heats,,,,
Shooting,10m Air Rifle Men's Qualification,,,2024-07-28T09:15:00.000+00:00,
Boxing,Men's 57kg - Preliminaries - Round of 32,,,2024-07-28T09:16:00.000+00:00,
Rowing,Lightweight Women's Double Sculls Heats,,,2024-07-28T09:30:00.000+00:00,
Artistic Gymnastics,Women's Qualification - Subdivision 2,,,2024-07-28T09:40:00.000+00:00,
Beach Volleyball,Women's Preliminary Phase - Pool C (#9),MULLER/TILLMANN,VIEIRA/CHAMEREAU,2024-07-28T10:00:00.000+00:00,
